date,model,start_configuration,complete_configuration,finance_calculator_visits,test_drives_submitted,finance_calc_leads_submitted,request_a_quote_form_submitted,showrooms_visits,visits,natural_search_visits,paid_search_visits,paid_social_visits,email_visits,direct_visits,bounces,return_visitors,unique_visitors,quality_arrivals
"Mar 12, 2023",Model_A,1859,643,243,1,0,2,2949,4010,1986,1627,0,29,355,146,1180,3684,1877
"Jan 7, 2023",Model_E,226,105,69,6,0,2,673,803,669,7,0,3,105,97,241,756,228
"Jan 17, 2023",Model_D,832,329,138,6,0,4,1493,2061,1073,652,0,37,253,52,738,1857,837
"Jan 22, 2023",Model_D,1069,483,181,7,2,2,1974,2608,1363,931,0,38,297,60,843,2347,1081
"Feb 1, 2023",Model_F,396,134,67,4,0,0,1164,1441,796,408,0,1,109,168,463,1363,399
"Feb 7, 2023",Model_B,1074,378,177,3,1,4,1539,2168,881,881,0,18,248,22,749,1997,1088
"Feb 15, 2023",Model_C,1173,356,133,3,0,6,1858,2543,1117,888,0,97,250,13,855,2321,1176
"Jan 18, 2023",Model_B,995,331,164,3,2,6,1154,1748,876,561,0,21,209,11,592,1623,1007
"Jan 24, 2023",Model_B,1053,376,167,3,4,8,1224,1888,922,643,0,13,262,21,620,1728,1070
"Jan 7, 2023",Model_C,1043,358,158,4,0,10,1468,2020,1639,39,0,11,298,9,696,1843,1051
"Mar 19, 2023",Model_F,344,126,118,5,0,0,2147,2531,1131,660,0,9,161,499,727,2425,350
"Mar 21, 2023",Model_B,1159,388,199,4,2,14,1400,2122,979,722,0,85,251,18,717,1938,1176
"Apr 12, 2023",Model_C,1220,304,116,2,0,4,1051,1722,960,440,0,92,176,8,663,1549,1225
"Jan 2, 2023",Model_B,755,295,150,3,0,8,672,1117,911,27,0,16,136,4,361,1029,757
"May 25, 2023",Model_E,355,122,34,1,0,0,75,513,316,107,0,4,73,0,197,476,355
"Jun 25, 2023",Model_D,787,294,136,8,0,2,1752,2251,1131,726,0,37,222,368,836,2048,792
"Jan 14, 2023",Model_E,307,131,72,1,0,0,1072,1198,824,226,0,4,146,165,314,1131,309
"Sep 17, 2023",Model_F,295,98,132,6,1,4,1584,1897,766,583,0,21,353,33,550,1770,298
"Nov 5, 2023",Model_B,762,277,151,2,0,4,666,1276,610,448,0,34,166,5,456,1151,772
"Nov 27, 2023",Model_B,668,221,340,0,1,5,557,1303,518,388,0,19,249,2,453,1206,679
"Feb 15, 2023",Model_A,1801,640,222,5,0,2,2692,3664,1895,1313,0,58,325,152,1218,3385,1817
"Feb 16, 2023",Model_F,455,151,91,3,0,2,1538,1881,1065,347,0,65,161,318,525,1774,455
"Mar 7, 2023",Model_E,319,111,81,1,0,0,1051,1284,844,231,0,16,134,135,454,1216,323
"Nov 21, 2023",Model_C,784,233,1246,1,15,12,1552,3078,1094,665,0,187,440,82,1065,2830,817
"Dec 16, 2023",Model_B,620,200,75,0,0,2,520,949,472,308,0,26,121,1,333,875,626
"Apr 6, 2023",Model_B,927,291,175,2,3,8,767,1367,624,498,0,47,161,8,467,1254,944
"Mar 5, 2023",Model_C,1567,490,360,8,2,8,2502,3363,1330,1110,0,121,315,23,1107,3068,1577
"Aug 6, 2023",Model_F,299,97,111,2,0,2,1563,1877,836,561,0,16,154,183,573,1747,303
"Mar 17, 2023",Model_E,227,71,76,3,0,0,1104,1254,918,211,0,9,97,121,412,1190,229
"Jan 23, 2023",Model_D,1009,418,171,5,0,10,1820,2526,1284,883,0,44,291,61,882,2250,1022
"Apr 30, 2023",Model_D,833,302,123,8,0,2,1679,2207,1369,304,0,69,216,301,760,2016,840
"Apr 27, 2023",Model_B,894,341,127,0,1,2,741,1264,595,473,0,61,125,9,428,1167,905
"Feb 7, 2023",Model_C,1127,292,92,4,0,0,1785,2377,1088,804,0,20,276,13,848,2209,1134
"May 7, 2023",Model_F,206,59,49,1,0,2,1005,1267,689,270,0,25,160,190,401,1194,207
"Apr 27, 2023",Model_A,1609,538,175,2,0,2,2320,3182,1981,830,0,38,274,382,1026,2976,1624
"Oct 25, 2023",Model_E,256,69,31,2,0,0,377,750,431,208,0,9,75,6,294,699,257
"Oct 28, 2023",Model_A,1315,447,164,2,0,2,2267,3105,1700,915,0,73,296,302,948,2857,1325
"Feb 12, 2023",Model_D,1125,464,165,5,0,2,2270,2943,1507,1079,0,89,248,77,977,2634,1126
"May 20, 2023",Model_B,927,308,466,4,1,0,747,1752,675,541,0,106,223,25,616,1604,946
"Jul 15, 2023",Model_E,477,180,54,5,0,4,419,1204,490,417,0,10,104,1,398,1152,478
"Jan 1, 2023",Model_C,1169,315,70,6,0,2,1419,1917,1561,46,0,4,291,7,616,1673,1172
"May 8, 2023",Model_C,991,277,94,3,0,0,938,1488,790,447,0,53,166,9,533,1352,992
"Jan 19, 2023",Model_B,902,324,167,2,0,2,1218,1732,898,534,0,9,213,13,554,1610,906
"May 22, 2023",Model_D,635,180,647,1,2,2,2002,2775,1238,682,0,82,204,273,962,2543,644
"Feb 11, 2023",Model_D,1235,505,165,4,0,2,2245,2978,1457,1036,0,92,295,138,1022,2631,1242
"Feb 21, 2023",Model_A,1855,716,239,3,1,18,2699,3677,1916,1351,0,42,347,167,1175,3393,1871
"Mar 24, 2023",Model_B,1025,328,108,0,0,2,1158,1670,838,570,0,47,159,8,551,1546,1033
"Mar 28, 2023",Model_A,2008,663,212,0,0,2,2631,3659,2159,1032,0,125,296,142,1228,3321,2022
"Mar 27, 2023",Model_E,13,0,91,0,0,0,936,1000,674,163,0,43,99,88,339,948,14
"Feb 23, 2023",Model_F,418,134,74,11,0,0,1386,1694,953,344,0,36,162,219,559,1587,419
"Jul 2, 2023",Model_F,312,90,190,5,0,6,1419,1718,742,568,0,33,189,155,562,1586,317
"Jul 24, 2023",Model_C,1028,304,145,3,0,16,1018,1779,910,582,0,74,191,5,721,1568,1030
"Aug 12, 2023",Model_B,1087,415,164,2,1,6,993,1726,718,715,0,68,181,15,591,1507,1099
"Aug 14, 2023",Model_A,1936,667,191,2,1,2,2822,3916,2108,1413,0,44,339,364,1343,3573,1946
"May 7, 2023",Model_A,1416,443,147,4,1,12,2010,2757,1640,775,0,29,280,313,814,2552,1431
"May 26, 2023",Model_C,852,231,77,5,0,4,767,1292,673,376,0,54,142,1,532,1158,855
"Jun 9, 2023",Model_F,225,82,66,4,0,3,949,1211,715,238,0,28,117,156,443,1122,227
"Jan 30, 2023",Model_E,332,107,67,2,0,2,932,1053,775,170,0,4,109,132,365,990,332
"Apr 20, 2023",Model_D,829,270,130,4,1,0,1955,2467,1040,756,0,70,218,402,970,2245,836
"Apr 12, 2023",Model_A,1657,535,192,1,1,2,2459,3377,2302,734,0,19,310,420,1086,3124,1666
"Aug 10, 2023",Model_B,989,370,150,4,1,10,849,1494,742,443,0,92,167,6,546,1356,995
"Aug 31, 2023",Model_B,1096,394,298,1,0,10,894,1816,724,624,0,168,209,5,680,1639,1112
"Feb 8, 2023",Model_D,1142,467,177,13,1,4,1993,2693,1279,898,0,74,308,79,972,2386,1143
"Jul 25, 2023",Model_E,589,205,63,0,0,2,536,1409,703,382,0,25,129,4,522,1348,589
"Oct 6, 2023",Model_E,276,94,44,4,0,0,379,793,402,227,0,13,112,0,305,730,278
"Oct 13, 2023",Model_A,1735,658,152,0,1,14,2638,3658,1999,1079,0,18,339,321,1219,3350,1743
"Oct 27, 2023",Model_F,231,55,64,0,0,4,843,1060,649,317,0,10,167,18,397,982,232
"Oct 28, 2023",Model_D,549,195,81,1,0,0,1841,2293,807,633,0,91,181,287,793,2130,551
"Dec 3, 2023",Model_A,1134,389,102,3,0,4,2080,2752,1345,686,0,14,330,391,804,2561,1149
"Dec 5, 2023",Model_E,214,66,39,1,0,2,270,648,318,154,0,8,77,2,249,611,215
"Mar 22, 2023",Model_F,442,148,161,12,0,0,2323,2768,1201,528,0,140,294,558,839,2619,447
"Mar 26, 2023",Model_B,1209,416,143,0,0,4,1381,1991,973,662,0,136,176,9,620,1853,1221
"Jan 11, 2023",Model_B,932,327,179,2,0,10,836,1373,655,488,0,14,169,10,478,1265,937
"May 5, 2023",Model_D,828,287,125,6,0,2,1803,2401,1273,665,0,110,220,361,928,2197,836
"Jun 17, 2023",Model_D,661,230,118,4,2,4,1519,1993,1080,522,0,76,179,343,727,1825,667
"Jul 10, 2023",Model_E,32,3,2,1,0,0,20,74,45,11,0,2,8,1,31,73,32
"Aug 12, 2023",Model_D,821,273,108,1,0,4,1517,2113,1153,541,0,90,217,102,765,1902,830
"Sep 15, 2023",Model_C,919,294,127,7,0,10,1591,2274,1238,544,0,236,163,74,822,2067,927
"Sep 21, 2023",Model_E,352,136,49,5,0,4,402,953,663,115,0,21,109,6,370,896,354
