date,Useable Date,model,start_configuration,complete_configuration,finance_calculator_visits,test_drives_submitted,finance_calc_leads_submitted,request_a_quote_form_submitted,car_model_visits,visits,natural_search_visits,paid_search_visits,paid_social_visits,email_visits,direct_visits,bounces,return_visitors,unique_visitors,Engine Type
"Mar 6, 2024",2024-03-06,Model_E,196,58,95,8,0,0,852,1227,540,384,156,14,107,42,450,1145,BEV
"Mar 10, 2024",2024-03-10,Model_E,229,76,100,11,0,2,1080,1431,632,450,176,14,168,46,472,1327,BEV
"Mar 14, 2024",2024-03-14,Model_E,288,84,80,8,0,2,1184,1608,770,493,130,17,196,47,604,1507,BEV
"Mar 18, 2024",2024-03-18,Model_E,197,55,58,4,0,2,1022,1381,704,413,81,4,182,45,492,1303,BEV
"Mar 22, 2024",2024-03-22,Model_E,213,63,58,10,0,5,896,1245,591,448,61,10,140,34,478,1170,BEV
"Jan 3, 2024",2024-01-03,Model_E,350,91,38,20,0,0,973,1414,870,354,11,7,226,29,517,1321,BEV
"Jan 7, 2024",2024-01-07,Model_E,242,73,111,6,0,2,823,1290,723,367,56,9,191,20,421,1202,BEV
"Jan 11, 2024",2024-01-11,Model_E,285,74,89,12,0,2,897,1387,833,290,53,50,204,23,491,1315,BEV
"Jan 15, 2024",2024-01-15,Model_E,262,75,142,11,0,0,828,1324,739,324,43,11,218,27,515,1239,BEV
"Jan 19, 2024",2024-01-19,Model_E,279,85,97,8,0,0,833,1331,743,291,46,82,199,20,504,1259,BEV
"Jan 23, 2024",2024-01-23,Model_E,305,69,116,13,0,0,835,1266,756,262,51,8,202,25,504,1192,BEV
"Jan 27, 2024",2024-01-27,Model_E,208,49,0,2,0,0,696,974,555,252,31,12,149,22,339,911,BEV
"Jan 31, 2024",2024-01-31,Model_E,305,108,0,7,0,6,828,1038,602,183,57,3,205,18,405,943,BEV
"Feb 4, 2024",2024-02-04,Model_E,267,91,0,8,0,2,783,934,422,257,59,3,223,20,303,868,BEV
"Feb 8, 2024",2024-02-08,Model_E,369,144,0,14,0,4,1717,2029,591,621,217,421,219,31,669,1939,BEV
"Feb 12, 2024",2024-02-12,Model_E,255,61,0,15,0,0,1261,1547,588,587,184,20,202,24,529,1469,BEV
"Feb 16, 2024",2024-02-16,Model_E,239,85,0,18,0,6,1229,1533,557,567,160,118,157,22,527,1444,BEV
"Feb 20, 2024",2024-02-20,Model_E,269,99,0,12,0,0,1039,1374,704,409,118,9,135,42,531,1273,BEV
"Feb 24, 2024",2024-02-24,Model_E,190,65,0,7,0,0,1014,1278,513,330,315,9,111,43,391,1218,BEV
"Feb 28, 2024",2024-02-28,Model_E,314,96,0,7,0,0,1343,1682,602,496,124,328,125,68,598,1592,BEV
"Mar 3, 2024",2024-03-03,Model_E,203,63,0,6,0,0,945,1194,497,410,166,9,126,34,344,1134,BEV
"Mar 7, 2024",2024-03-07,Model_E,211,70,83,8,0,4,869,1230,565,343,138,25,143,39,464,1158,BEV
"Mar 11, 2024",2024-03-11,Model_E,190,64,99,7,0,2,986,1300,661,364,122,12,122,41,479,1209,BEV
"Mar 15, 2024",2024-03-15,Model_E,270,77,77,7,0,0,1041,1420,707,462,86,16,145,51,554,1320,BEV
"Mar 19, 2024",2024-03-19,Model_E,220,68,71,7,0,0,851,1187,564,381,71,8,151,26,458,1125,BEV
"Mar 23, 2024",2024-03-23,Model_E,207,62,69,6,0,2,907,1238,601,433,78,3,136,40,390,1162,BEV
"Mar 27, 2024",2024-03-27,Model_E,170,47,59,5,0,4,845,1157,645,312,48,7,122,35,426,1094,BEV
"Mar 31, 2024",2024-03-31,Model_E,155,59,0,4,0,2,674,876,443,275,52,0,106,32,287,833,BEV
"Apr 4, 2024",2024-04-04,Model_E,192,56,74,9,0,0,703,1015,557,337,2,2,100,30,420,939,BEV
"Apr 8, 2024",2024-04-08,Model_E,224,61,49,15,0,0,906,1218,719,303,26,8,142,40,488,1137,BEV
"Apr 12, 2024",2024-04-12,Model_E,186,63,44,7,0,0,648,926,474,267,8,8,110,35,375,870,BEV
"Apr 16, 2024",2024-04-16,Model_E,229,65,76,11,0,5,821,1156,569,288,136,11,130,47,424,1083,BEV
"Apr 20, 2024",2024-04-20,Model_E,174,58,37,6,0,2,710,945,486,320,13,6,104,56,318,874,BEV
"Apr 24, 2024",2024-04-24,Model_E,191,52,67,11,0,2,728,1045,602,247,17,18,141,52,378,960,BEV
"Apr 28, 2024",2024-04-28,Model_E,186,62,71,5,0,0,742,1002,512,288,38,3,161,46,327,938,BEV
"May 2, 2024",2024-05-02,Model_E,253,68,37,7,0,4,769,1127,631,261,37,14,153,33,418,1056,BEV
"May 6, 2024",2024-05-06,Model_E,19,7,3,5,0,0,738,775,493,158,19,9,104,48,250,725,BEV
"May 10, 2024",2024-05-10,Model_E,259,79,58,6,0,0,754,1061,585,265,20,8,140,39,399,997,BEV
"May 14, 2024",2024-05-14,Model_E,320,78,66,8,0,2,803,1200,650,287,28,32,154,50,441,1090,BEV
"May 18, 2024",2024-05-18,Model_E,196,64,59,4,0,2,654,939,465,253,64,4,128,35,295,881,BEV
"May 22, 2024",2024-05-22,Model_E,285,75,58,18,0,0,819,1192,606,299,74,13,156,47,469,1117,BEV
"May 26, 2024",2024-05-26,Model_E,196,61,67,12,0,2,755,1075,473,346,77,6,141,56,354,1005,BEV
"May 30, 2024",2024-05-30,Model_E,267,79,67,12,0,4,888,1229,674,247,54,12,197,60,469,1133,BEV
"Jun 3, 2024",2024-06-03,Model_E,319,88,61,8,0,2,857,1222,687,316,9,15,167,45,480,1140,BEV
"Jun 7, 2024",2024-06-07,Model_E,244,82,49,3,0,0,757,1039,517,292,47,7,137,30,391,958,BEV
"Jun 11, 2024",2024-06-11,Model_E,245,66,54,2,0,0,783,1159,581,326,30,16,156,34,430,1084,BEV
"Jun 15, 2024",2024-06-15,Model_E,299,98,236,3,0,0,1629,1925,508,292,31,899,200,138,632,1785,BEV
"Jun 19, 2024",2024-06-19,Model_E,204,67,72,7,0,6,730,1004,554,227,23,31,136,35,400,940,BEV
"Jun 23, 2024",2024-06-23,Model_E,171,37,76,6,0,2,657,998,425,278,96,11,130,31,311,937,BEV
"Jun 27, 2024",2024-06-27,Model_E,254,102,0,4,0,0,766,950,505,235,52,18,126,29,357,869,BEV
"Jul 1, 2024",2024-07-01,Model_E,300,114,88,7,0,2,799,1030,588,246,7,12,155,21,383,942,BEV
"Jul 5, 2024",2024-07-05,Model_E,278,77,132,5,0,0,851,1203,543,293,202,9,155,45,453,1127,BEV
"Jul 9, 2024",2024-07-09,Model_E,276,98,136,12,0,9,1018,1440,686,365,181,28,174,43,568,1348,BEV
"Mar 26, 2024",2024-03-26,Model_E,170,51,53,9,0,0,832,1148,629,352,66,6,110,44,395,1067,BEV
"Mar 30, 2024",2024-03-30,Model_E,147,46,2,6,0,2,764,998,450,325,75,1,136,34,317,932,BEV
"Apr 3, 2024",2024-04-03,Model_E,240,68,95,11,0,4,792,1155,648,347,1,2,135,26,449,1063,BEV
"Apr 7, 2024",2024-04-07,Model_E,156,44,70,6,0,0,808,1035,536,335,24,0,146,39,334,976,BEV
"Apr 11, 2024",2024-04-11,Model_E,198,54,51,7,0,2,668,971,488,284,6,13,124,40,377,917,BEV
"Apr 15, 2024",2024-04-15,Model_E,246,85,82,13,0,0,786,1111,530,278,125,4,137,40,400,1021,BEV
"Apr 19, 2024",2024-04-19,Model_E,189,57,28,5,0,2,714,971,586,240,16,11,99,45,350,908,BEV
"Apr 23, 2024",2024-04-23,Model_E,234,69,66,9,0,0,780,1110,619,293,27,12,125,46,427,1022,BEV
"Apr 27, 2024",2024-04-27,Model_E,195,64,54,3,0,0,743,999,493,314,30,7,154,45,352,912,BEV
"May 1, 2024",2024-05-01,Model_E,248,77,60,12,0,2,781,1136,630,256,52,15,146,44,426,1049,BEV
"May 5, 2024",2024-05-05,Model_E,221,71,42,7,0,0,734,1009,542,284,32,9,138,44,319,948,BEV
"May 9, 2024",2024-05-09,Model_E,256,67,51,7,0,4,766,1059,606,255,15,15,120,38,388,989,BEV
"May 13, 2024",2024-05-13,Model_E,267,108,89,5,0,2,905,1290,688,301,62,30,172,50,480,1190,BEV
"May 17, 2024",2024-05-17,Model_E,206,53,58,12,0,0,781,1098,584,232,56,19,154,53,392,1048,BEV
"May 21, 2024",2024-05-21,Model_E,270,70,53,11,0,4,882,1249,643,280,107,18,156,57,448,1146,BEV
"May 25, 2024",2024-05-25,Model_E,200,57,46,8,0,8,699,956,471,263,67,7,130,45,312,888,BEV
"May 29, 2024",2024-05-29,Model_E,250,68,66,8,0,2,780,1065,551,241,61,23,149,47,429,988,BEV
"Jun 2, 2024",2024-06-02,Model_E,188,51,55,5,0,2,698,981,499,293,10,1,154,43,352,928,BEV
"Jun 6, 2024",2024-06-06,Model_E,233,63,59,4,0,3,822,1109,552,356,32,7,120,40,411,1038,BEV
"Jun 10, 2024",2024-06-10,Model_E,241,61,54,1,0,0,800,1116,628,275,27,6,149,46,432,1030,BEV
"Jun 14, 2024",2024-06-14,Model_E,511,159,713,9,0,6,4078,4456,591,274,22,3311,334,179,1317,4204,BEV
"Jun 18, 2024",2024-06-18,Model_E,221,48,89,5,0,4,770,1095,552,263,26,68,162,38,427,1026,BEV
"Jun 22, 2024",2024-06-22,Model_E,196,52,88,7,0,0,641,961,456,270,81,9,117,17,309,892,BEV
"Jun 26, 2024",2024-06-26,Model_E,0,0,0,1,0,0,822,837,478,221,13,26,91,31,317,784,BEV
"Jun 30, 2024",2024-06-30,Model_E,188,80,83,5,0,4,717,933,400,323,77,5,112,19,289,865,BEV
"Jul 4, 2024",2024-07-04,Model_E,281,78,116,7,0,7,944,1216,575,311,191,14,127,38,444,1127,BEV
"Jul 8, 2024",2024-07-08,Model_E,257,83,104,10,0,2,912,1278,674,240,177,29,164,37,498,1193,BEV
"Jan 1, 2024",2024-01-01,Model_E,188,61,17,5,0,0,553,804,427,247,17,5,133,18,238,743,BEV
"Jan 5, 2024",2024-01-05,Model_E,312,97,124,15,0,2,911,1487,824,348,76,19,275,15,508,1393,BEV
"Jan 9, 2024",2024-01-09,Model_E,301,82,99,6,0,0,908,1419,807,333,41,16,231,21,557,1333,BEV
"Jan 13, 2024",2024-01-13,Model_E,222,59,128,10,0,4,795,1277,693,336,29,20,236,22,426,1199,BEV
"Jan 17, 2024",2024-01-17,Model_E,289,83,142,9,0,0,874,1380,766,355,38,19,221,15,583,1315,BEV
"Jan 21, 2024",2024-01-21,Model_E,231,67,60,12,0,0,819,1216,684,303,40,14,217,18,400,1146,BEV
"Jan 25, 2024",2024-01-25,Model_E,231,66,24,10,0,0,776,1077,671,245,21,9,167,19,399,1020,BEV
"Jan 29, 2024",2024-01-29,Model_E,271,63,0,7,0,2,738,994,587,249,21,3,149,26,402,936,BEV
"Feb 2, 2024",2024-02-02,Model_E,262,86,0,8,0,2,739,915,499,219,24,11,183,20,344,848,BEV
"Feb 6, 2024",2024-02-06,Model_E,308,112,0,11,0,2,1392,1662,656,566,264,4,214,37,599,1547,BEV
"Feb 10, 2024",2024-02-10,Model_E,271,108,0,13,0,4,1257,1497,517,582,205,40,175,34,483,1411,BEV
"Feb 14, 2024",2024-02-14,Model_E,246,96,0,18,0,8,1142,1501,538,536,196,92,175,15,537,1425,BEV
"Feb 18, 2024",2024-02-18,Model_E,224,72,0,11,0,2,1036,1335,552,485,166,16,173,24,434,1256,BEV
"Feb 22, 2024",2024-02-22,Model_E,235,60,0,11,0,2,1156,1465,720,282,295,38,123,39,531,1377,BEV
"Feb 26, 2024",2024-02-26,Model_E,222,61,0,9,0,0,953,1222,589,284,216,19,110,36,435,1146,BEV
"Mar 1, 2024",2024-03-01,Model_E,228,61,0,13,0,4,927,1262,629,312,141,27,137,35,467,1183,BEV
"Mar 5, 2024",2024-03-05,Model_E,231,59,46,13,0,0,1037,1391,606,462,159,29,113,32,508,1307,BEV
"Mar 9, 2024",2024-03-09,Model_E,206,58,93,9,0,0,971,1321,596,429,161,10,129,36,471,1246,BEV
"Mar 13, 2024",2024-03-13,Model_E,234,82,83,11,0,0,1237,1554,747,431,149,20,181,44,567,1468,BEV
"Mar 17, 2024",2024-03-17,Model_E,218,53,52,11,0,2,988,1390,643,463,102,14,178,50,471,1311,BEV
"Mar 21, 2024",2024-03-21,Model_E,229,74,50,11,0,4,916,1221,603,379,67,12,133,46,461,1155,BEV
"Mar 25, 2024",2024-03-25,Model_E,209,63,53,7,0,2,843,1145,653,308,66,6,126,32,397,1070,BEV
"Mar 29, 2024",2024-03-29,Model_E,180,60,68,8,0,4,774,1039,541,328,64,4,113,48,344,955,BEV
"Apr 2, 2024",2024-04-02,Model_E,226,60,65,6,0,2,888,1236,656,424,17,8,128,39,506,1141,BEV
"Apr 6, 2024",2024-04-06,Model_E,166,57,69,3,0,0,801,1024,560,317,28,0,119,34,344,958,BEV
"Apr 10, 2024",2024-04-10,Model_E,177,54,61,11,0,2,725,966,506,266,13,14,106,26,380,914,BEV
"Apr 14, 2024",2024-04-14,Model_E,147,61,36,5,0,2,521,710,294,216,15,2,101,30,244,667,BEV
"Apr 18, 2024",2024-04-18,Model_E,164,49,46,8,0,2,725,1004,555,294,21,6,112,51,379,943,BEV
"Apr 22, 2024",2024-04-22,Model_E,205,55,51,5,0,0,798,1119,615,293,18,15,132,53,422,1027,BEV
"Apr 26, 2024",2024-04-26,Model_E,191,53,61,6,0,0,706,1005,535,286,28,13,129,48,351,939,BEV
"Apr 30, 2024",2024-04-30,Model_E,248,67,67,8,0,0,725,1060,580,246,29,34,152,32,403,996,BEV
"May 4, 2024",2024-05-04,Model_E,227,68,42,3,0,3,745,1083,537,291,39,52,163,32,341,1026,BEV
"May 8, 2024",2024-05-08,Model_E,359,101,70,6,0,0,893,1239,723,293,31,21,155,51,470,1124,BEV
"May 12, 2024",2024-05-12,Model_E,209,71,39,9,0,0,662,928,513,275,19,4,122,39,281,855,BEV
"May 16, 2024",2024-05-16,Model_E,276,89,80,16,0,6,871,1257,653,263,53,93,158,56,436,1159,BEV
"May 20, 2024",2024-05-20,Model_E,213,56,55,7,0,0,743,1069,578,267,52,33,124,54,418,978,BEV
"May 24, 2024",2024-05-24,Model_E,199,59,54,16,0,2,732,1069,509,249,81,28,150,72,409,1005,BEV
"May 28, 2024",2024-05-28,Model_E,266,75,77,9,0,2,913,1262,597,307,110,28,181,74,477,1177,BEV
"Jun 1, 2024",2024-06-01,Model_E,252,85,55,4,0,0,751,1034,525,283,20,2,165,60,350,952,BEV
"Jun 5, 2024",2024-06-05,Model_E,275,67,66,10,0,0,828,1207,627,352,24,15,152,34,467,1111,BEV
"Jun 9, 2024",2024-06-09,Model_E,206,71,54,0,0,2,713,969,478,313,33,1,125,37,298,912,BEV
"Jun 13, 2024",2024-06-13,Model_E,255,67,89,5,0,2,832,1181,535,336,21,104,146,27,428,1107,BEV
"Jun 17, 2024",2024-06-17,Model_E,241,59,122,9,0,2,873,1175,576,260,14,157,153,59,456,1074,BEV
"Jun 21, 2024",2024-06-21,Model_E,214,53,80,7,0,2,760,1086,541,321,66,29,107,31,397,1012,BEV
"Jun 25, 2024",2024-06-25,Model_E,1,0,0,1,0,0,777,781,459,199,12,7,90,20,306,727,BEV
"Jun 29, 2024",2024-06-29,Model_E,185,62,86,8,0,2,650,890,401,257,75,7,141,26,271,826,BEV
"Jul 3, 2024",2024-07-03,Model_E,263,67,91,8,0,2,1013,1236,591,275,238,10,121,27,473,1165,BEV
"Jul 7, 2024",2024-07-07,Model_E,216,73,107,8,0,0,872,1199,538,323,176,1,178,25,436,1113,BEV
"Jul 11, 2024",2024-07-11,Model_E,273,110,84,12,0,8,976,1348,732,286,138,33,215,35,507,1255,BEV
"Jul 15, 2024",2024-07-15,Model_E,318,118,90,7,0,6,859,1241,621,316,154,20,204,16,463,1152,BEV
"Jul 19, 2024",2024-07-19,Model_E,281,107,93,11,0,2,900,1215,575,309,162,36,211,24,465,1142,BEV
"Jul 23, 2024",2024-07-23,Model_E,383,120,113,12,0,2,938,1355,633,405,107,28,250,26,495,1233,BEV
"Jul 27, 2024",2024-07-27,Model_E,278,95,90,4,0,2,786,1092,516,326,103,12,211,22,378,1001,BEV
"Jul 31, 2024",2024-07-31,Model_E,263,65,85,11,0,6,834,1199,556,408,101,15,197,17,477,1130,BEV
"Aug 4, 2024",2024-08-04,Model_E,261,76,90,6,0,4,774,1103,510,371,89,2,198,26,380,1018,BEV
"Aug 8, 2024",2024-08-08,Model_E,343,97,74,8,0,0,942,1393,750,321,112,33,211,31,550,1296,BEV
"Aug 12, 2024",2024-08-12,Model_E,350,117,79,13,0,11,992,1433,745,350,127,22,263,30,519,1317,BEV
"Aug 16, 2024",2024-08-16,Model_E,391,122,79,8,0,6,881,1299,668,331,103,28,198,30,509,1195,BEV
"Aug 20, 2024",2024-08-20,Model_E,372,104,96,12,0,7,968,1441,809,324,116,20,236,27,572,1316,BEV
"Aug 24, 2024",2024-08-24,Model_E,292,96,93,7,0,0,917,1276,683,319,104,20,246,21,451,1182,BEV
"Aug 28, 2024",2024-08-28,Model_E,396,133,127,19,0,0,1139,1647,912,320,167,15,318,40,645,1538,BEV
"Sep 1, 2024",2024-09-01,Model_E,386,124,102,10,0,4,1062,1432,730,298,187,14,273,23,509,1295,BEV
"Sep 5, 2024",2024-09-05,Model_E,412,136,89,18,0,4,1065,1543,780,418,161,20,270,22,635,1430,BEV
"Sep 9, 2024",2024-09-09,Model_E,400,139,104,12,0,4,983,1468,847,356,77,30,242,22,601,1341,BEV
"Sep 13, 2024",2024-09-13,Model_E,419,142,91,11,0,0,1011,1461,745,401,137,25,234,33,606,1346,BEV
"Sep 17, 2024",2024-09-17,Model_E,337,105,75,13,0,6,875,1315,684,325,124,14,216,22,536,1210,BEV
"Sep 21, 2024",2024-09-21,Model_E,349,120,91,15,0,2,988,1406,617,403,182,24,268,40,472,1295,BEV
"Sep 25, 2024",2024-09-25,Model_E,338,104,71,13,0,2,842,1213,621,276,124,23,222,22,493,1128,BEV
"Sep 29, 2024",2024-09-29,Model_E,333,126,98,12,0,2,877,1293,573,404,124,6,250,19,478,1179,BEV
"Oct 3, 2024",2024-10-03,Model_E,407,130,106,17,0,0,1299,1785,723,644,217,27,231,53,741,1643,BEV
"Oct 7, 2024",2024-10-07,Model_E,530,165,108,15,0,4,1172,1746,790,576,101,39,291,57,742,1596,BEV
"Oct 11, 2024",2024-10-11,Model_E,456,169,110,11,0,0,1133,1630,684,643,71,23,248,32,682,1485,BEV
"Oct 15, 2024",2024-10-15,Model_E,400,140,103,12,0,4,1201,1644,758,602,73,32,352,15,688,1492,BEV
"Oct 19, 2024",2024-10-19,Model_E,488,190,483,21,0,6,1326,2187,724,646,435,165,408,17,821,2010,BEV
"Oct 23, 2024",2024-10-23,Model_E,506,169,354,16,0,5,1064,1803,728,359,211,243,329,7,726,1637,BEV
"Oct 27, 2024",2024-10-27,Model_E,362,144,264,12,0,6,748,1367,574,430,179,25,222,8,534,1250,BEV
"Oct 31, 2024",2024-10-31,Model_E,381,133,236,15,0,0,802,1340,691,285,135,31,271,2,552,1214,BEV
"Nov 4, 2024",2024-11-04,Model_E,431,162,215,18,0,2,870,1492,748,319,133,38,282,6,638,1324,BEV
"Nov 8, 2024",2024-11-08,Model_E,456,149,207,14,0,4,958,1581,801,325,140,52,344,7,622,1418,BEV
"Nov 12, 2024",2024-11-12,Model_E,428,143,201,11,0,6,960,1544,820,339,141,51,281,12,627,1394,BEV
"Nov 16, 2024",2024-11-16,Model_E,381,131,195,13,0,2,820,1293,618,331,119,53,248,4,497,1166,BEV
"Jan 4, 2024",2024-01-04,Model_D,1115,389,315,23,0,6,2668,3692,1017,836,1235,328,265,433,1133,3476,ICE
"Jan 8, 2024",2024-01-08,Model_D,838,293,864,28,2,2,1502,2866,1095,797,557,64,363,121,1073,2655,ICE
"Jan 12, 2024",2024-01-12,Model_D,853,281,817,24,0,4,1581,2994,1186,743,586,124,347,128,1105,2792,ICE
"Jan 16, 2024",2024-01-16,Model_D,915,295,703,22,1,4,1524,2805,1235,683,484,74,324,123,1079,2593,ICE
"Jan 20, 2024",2024-01-20,Model_D,1027,368,890,21,0,8,1822,3386,1309,956,552,150,442,137,1166,3086,ICE
"Jan 24, 2024",2024-01-24,Model_D,797,260,625,20,1,0,1452,2734,1158,707,423,104,332,116,1028,2530,ICE
"Jan 28, 2024",2024-01-28,Model_D,816,274,0,13,0,6,1603,2050,1062,646,93,36,216,101,719,1892,ICE
"Feb 1, 2024",2024-02-01,Model_D,772,250,0,21,0,4,1331,1852,998,508,72,62,195,91,726,1684,ICE
"Feb 5, 2024",2024-02-05,Model_D,1055,429,0,27,0,2,1992,2646,1246,581,442,89,310,35,1013,2416,ICE
"Feb 9, 2024",2024-02-09,Model_D,1441,569,1,38,0,12,3243,4044,1241,1424,318,611,423,91,1578,3648,ICE
"Feb 13, 2024",2024-02-13,Model_D,1079,350,0,19,0,6,2653,3270,1230,1415,260,171,314,73,1321,2975,ICE
"Feb 17, 2024",2024-02-17,Model_D,1238,455,0,22,0,8,2523,3323,1233,1338,262,179,457,67,1227,2919,ICE
"Feb 21, 2024",2024-02-21,Model_D,1072,370,0,19,0,0,2766,3334,966,1057,954,109,247,101,1359,3063,ICE
"Feb 25, 2024",2024-02-25,Model_D,673,102,0,15,0,6,1907,2288,869,786,397,38,218,62,830,2149,ICE
"Feb 29, 2024",2024-02-29,Model_D,842,299,0,18,0,8,1968,2451,944,842,279,183,215,82,1034,2265,ICE
"Mar 4, 2024",2024-03-04,Model_D,840,284,1,18,0,8,1853,2347,895,951,228,106,199,82,883,2124,ICE
"Mar 8, 2024",2024-03-08,Model_D,867,333,210,19,0,0,1818,2511,929,1042,253,80,227,89,953,2243,ICE
"Mar 12, 2024",2024-03-12,Model_D,1063,352,213,11,0,4,2151,2891,1034,1248,282,125,255,85,1119,2655,ICE
"Mar 16, 2024",2024-03-16,Model_D,931,314,143,11,0,4,1910,2523,922,1147,179,76,231,72,869,2280,ICE
"Mar 20, 2024",2024-03-20,Model_D,873,342,157,13,0,2,1813,2338,936,1022,179,17,198,55,844,2138,ICE
"Mar 24, 2024",2024-03-24,Model_D,773,254,158,5,0,0,1990,2445,826,1338,118,11,233,82,823,2264,ICE
"Mar 28, 2024",2024-03-28,Model_D,787,270,148,6,0,8,1701,2209,816,1059,129,12,217,77,861,2002,ICE
"Apr 1, 2024",2024-04-01,Model_D,679,265,142,5,0,6,1719,2133,857,1043,7,10,230,58,782,1935,ICE
"Apr 5, 2024",2024-04-05,Model_D,679,241,150,5,0,2,1460,1889,922,753,5,29,203,43,741,1724,ICE
"Apr 9, 2024",2024-04-09,Model_D,552,86,181,7,0,5,1500,1964,877,709,14,115,233,54,742,1821,ICE
"Apr 13, 2024",2024-04-13,Model_D,465,88,103,7,0,4,1214,1570,601,671,8,9,188,84,555,1446,ICE
"Apr 17, 2024",2024-04-17,Model_D,513,89,155,7,0,9,1508,1955,889,773,68,8,227,83,744,1774,ICE
"Apr 21, 2024",2024-04-21,Model_D,571,217,151,6,0,8,1314,1714,686,728,24,6,215,65,610,1591,ICE
"Apr 25, 2024",2024-04-25,Model_D,679,210,154,3,0,4,1549,2041,831,895,49,60,231,77,749,1856,ICE
"Apr 29, 2024",2024-04-29,Model_D,767,297,176,14,0,13,1566,2128,1075,697,31,97,246,73,800,1939,ICE
"May 3, 2024",2024-05-03,Model_D,594,241,124,10,0,6,1302,1792,873,665,28,17,223,71,669,1626,ICE
"May 7, 2024",2024-05-07,Model_D,632,220,143,12,0,4,1211,1734,774,688,19,28,234,51,672,1543,ICE
"May 11, 2024",2024-05-11,Model_D,514,200,121,1,0,4,1028,1530,662,612,22,6,238,50,540,1375,ICE
"May 15, 2024",2024-05-15,Model_D,809,308,197,14,0,10,1732,2379,820,655,176,458,271,66,831,2188,ICE
"May 19, 2024",2024-05-19,Model_D,590,234,131,5,0,6,1180,1704,698,632,139,21,230,55,628,1511,ICE
"May 23, 2024",2024-05-23,Model_D,744,244,181,16,0,10,1811,2397,894,768,126,324,300,116,782,2182,ICE
"May 27, 2024",2024-05-27,Model_D,673,274,129,7,0,11,1503,2034,956,676,99,23,283,83,678,1832,ICE
"May 31, 2024",2024-05-31,Model_D,588,198,124,8,0,0,1253,1706,844,616,5,24,215,53,590,1555,ICE
"Jun 4, 2024",2024-06-04,Model_D,651,238,154,6,0,4,1423,1941,859,742,13,30,298,57,683,1775,ICE
"Jun 8, 2024",2024-06-08,Model_D,656,245,133,0,0,2,1506,1986,820,869,7,5,266,43,691,1769,ICE
"Jun 12, 2024",2024-06-12,Model_D,663,231,123,0,0,0,1796,2226,858,1088,8,19,242,72,855,2054,ICE
"Jun 16, 2024",2024-06-16,Model_D,571,195,139,2,0,2,1571,1984,717,1007,11,8,255,60,737,1831,ICE
"Jun 20, 2024",2024-06-20,Model_D,498,178,138,5,0,2,1495,1902,744,886,16,26,230,55,735,1782,ICE
"Jun 24, 2024",2024-06-24,Model_D,558,186,132,9,0,3,1551,2166,747,899,215,25,268,60,776,2007,ICE
"Jun 28, 2024",2024-06-28,Model_D,534,212,139,9,0,0,1513,1983,674,872,173,20,237,47,667,1856,ICE
"Jul 2, 2024",2024-07-02,Model_D,611,254,176,5,0,4,1521,2003,799,806,127,33,265,48,725,1839,ICE
"Jul 6, 2024",2024-07-06,Model_D,628,241,175,4,0,4,1501,1967,688,818,237,7,239,49,728,1790,ICE
"Jul 10, 2024",2024-07-10,Model_D,418,184,6,3,0,12,1508,1729,634,812,134,42,138,46,657,1596,ICE
